euroc_v202_752/500/1 : {'above_tracked': 2286, 'above_total': 2348, 'below_tracked': 0, 'below_total': 0}
euroc_v202_752/500/2 : {'above_tracked': 2287, 'above_total': 2348, 'below_tracked': 0, 'below_total': 0}
euroc_v202_752/500/3 : {'above_tracked': 2287, 'above_total': 2348, 'below_tracked': 0, 'below_total': 0}
euroc_v202_752/750/1 : {'above_tracked': 2348, 'above_total': 2348, 'below_tracked': 0, 'below_total': 0}
euroc_v202_752/750/2 : {'above_tracked': 2287, 'above_total': 2348, 'below_tracked': 0, 'below_total': 0}
euroc_v202_752/750/3 : {'above_tracked': 2286, 'above_total': 2348, 'below_tracked': 0, 'below_total': 0}
euroc_v202_752/1000/1 : {'above_tracked': 2287, 'above_total': 2348, 'below_tracked': 0, 'below_total': 0}
euroc_v202_752/1000/2 : {'above_tracked': 2348, 'above_total': 2348, 'below_tracked': 0, 'below_total': 0}
euroc_v202_752/1000/3 : {'above_tracked': 2348, 'above_total': 2348, 'below_tracked': 0, 'below_total': 0}
euroc_v202_752/1250/1 : {'above_tracked': 2348, 'above_total': 2348, 'below_tracked': 0, 'below_total': 0}
euroc_v202_752/1250/2 : {'above_tracked': 2348, 'above_total': 2348, 'below_tracked': 0, 'below_total': 0}
euroc_v202_752/1250/3 : {'above_tracked': 2348, 'above_total': 2348, 'below_tracked': 0, 'below_total': 0}
euroc_v202_752/2500/1 : {'above_tracked': 2273, 'above_total': 2273, 'below_tracked': 75, 'below_total': 75}
